#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Texas A&M Commerce,33,41.4,71.5,25.1,60.5,.415,8.7,27.9,.312,12.6,17.9,.701,7.8,21.2,29.1,13.8,7.9,5.0,10.9,17.6
2,Nicholls State,34,41.3,73.9,25.0,56.1,.445,8.4,22.9,.365,15.6,21.5,.725,7.9,23.6,31.6,11.4,6.7,4.1,12.4,18.7
3,Northern Colorado,33,41.2,79.3,29.4,60.5,.485,7.7,22.1,.348,12.9,17.7,.729,7.3,26.1,33.4,14.6,6.3,2.4,11.1,16.6
4,Central Michigan,32,41.1,66.5,24.7,58.8,.420,6.3,20.6,.303,10.8,16.4,.660,9.4,24.0,33.4,11.4,6.0,3.7,11.3,16.5
5,George Washington,32,41.0,76.8,26.3,59.4,.442,9.0,24.9,.361,15.3,20.4,.746,7.8,26.6,34.4,12.3,5.9,4.8,12.1,14.5
6,Creighton,34,41.0,80.6,29.1,60.1,.485,10.7,29.3,.366,11.6,14.9,.784,7.3,28.6,35.9,16.9,3.9,4.1,10.0,11.4
7,North Dakota State,32,41.0,74.6,27.3,57.3,.476,7.9,20.8,.378,12.2,17.0,.718,7.3,24.5,31.8,11.6,4.3,1.3,10.5,14.6
8,Lehigh,32,40.9,72.7,25.9,59.0,.439,7.2,22.3,.322,13.7,18.6,.735,7.1,25.8,32.9,13.2,7.2,2.3,11.5,16.6
9,Winthrop,32,40.9,77.3,25.6,55.1,.464,7.4,21.8,.341,18.8,26.8,.702,9.2,23.3,32.5,11.9,6.3,2.8,12.2,17.8
10,Kansas State,34,40.9,72.2,24.6,56.4,.436,7.4,23.2,.318,15.6,21.6,.720,9.7,24.5,34.2,14.0,5.9,4.1,14.2,17.5
11,California,32,40.9,74.0,26.0,61.9,.421,8.8,26.0,.338,13.1,18.1,.727,9.3,25.2,34.4,12.1,6.0,2.6,11.1,17.3
12,Appalachian State,34,40.9,78.4,29.3,61.8,.475,6.6,19.8,.332,13.1,19.3,.680,9.9,28.7,38.6,14.6,6.1,6.8,10.2,13.2
13,Stony Brook,35,40.8,73.5,26.3,60.0,.438,7.9,22.1,.357,13.0,17.5,.739,8.3,25.4,33.7,12.1,6.0,3.2,9.8,15.2
14,Butler,33,40.8,77.1,27.9,61.7,.453,8.4,23.6,.355,12.8,16.2,.791,7.6,24.7,32.3,15.1,6.2,3.3,10.7,13.8
15,Oregon State,32,40.8,68.9,24.1,54.5,.442,6.1,18.7,.328,14.5,19.7,.737,7.1,22.7,29.8,11.1,6.0,3.7,11.7,18.5
16,Seattle,35,40.8,73.7,25.8,57.9,.445,7.6,22.0,.344,14.5,19.7,.734,8.7,25.4,34.1,13.2,5.8,2.9,12.2,18.6
17,Drake,35,40.8,79.9,28.3,59.4,.477,8.6,23.4,.366,14.7,19.5,.753,6.9,25.2,32.1,16.0,6.5,1.6,8.9,16.3
18,Florida Atlantic ,34,40.8,82.0,29.2,61.0,.478,8.4,23.8,.351,15.3,21.3,.720,10.1,25.3,35.5,14.9,7.2,3.1,11.1,16.1
19,Middle Tennessee State,33,40.8,65.7,22.5,55.8,.402,7.3,23.5,.311,13.5,19.1,.704,8.8,22.5,31.3,10.0,5.3,4.2,13.3,15.6
20,Stephen F. Austin,33,40.8,74.6,25.7,57.3,.449,6.2,18.4,.334,17.0,24.1,.706,10.3,22.9,33.2,12.8,8.9,2.8,15.4,21.1
21,Washington,32,40.8,80.6,29.1,61.9,.470,8.1,22.8,.354,14.3,19.9,.722,7.6,24.9,32.5,15.1,5.8,3.7,11.4,18.3
22,Baylor,35,40.7,80.4,27.6,57.2,.483,8.6,22.1,.389,16.5,22.6,.732,9.8,22.4,32.2,14.7,6.7,3.1,11.5,16.5
23,Idaho State,34,40.7,70.5,25.7,55.9,.460,6.4,19.5,.329,12.6,18.4,.686,8.6,21.1,29.7,12.0,7.0,3.6,10.5,16.1
24,Bowling Green,34,40.7,73.6,25.9,60.1,.431,6.4,21.5,.296,15.4,21.5,.715,9.9,25.6,35.6,11.3,6.5,2.8,11.2,15.7
25,Villanova,34,40.7,70.2,24.3,57.2,.425,9.3,27.4,.338,12.4,15.3,.808,7.0,24.8,31.8,12.9,5.8,2.4,9.1,15.3
26,Austin Peay,35,40.7,74.8,26.9,60.1,.447,7.9,21.9,.361,13.1,18.6,.706,9.4,22.0,31.4,11.1,7.1,2.7,8.2,17.6
27,Denver,34,40.7,81.0,27.8,61.9,.450,8.6,24.9,.348,16.7,22.9,.730,8.4,23.6,32.0,13.0,6.2,3.9,9.8,16.9
28,Kent State,34,40.7,74.8,26.2,59.3,.441,8.3,23.2,.357,14.2,19.0,.746,9.4,21.9,31.3,12.8,6.9,2.6,11.2,17.9
29,Fordham,33,40.7,70.5,24.2,60.4,.400,8.0,25.5,.315,14.1,21.2,.662,11.5,22.6,34.1,12.7,8.0,4.7,12.5,20.2
30,Oakland,36,40.7,76.4,26.8,60.2,.446,8.8,24.9,.355,13.9,18.5,.751,9.6,24.2,33.8,14.5,6.6,2.8,10.6,15.1
31,Milwaukee,35,40.7,79.5,28.0,62.8,.446,7.9,24.6,.322,15.6,21.4,.727,11.9,24.3,36.2,14.2,5.9,4.4,12.1,18.1
32,Temple,36,40.7,70.9,24.3,61.5,.396,8.2,25.9,.318,14.0,19.7,.709,9.5,23.4,32.9,11.2,7.4,2.9,9.6,16.9
33,Florida,36,40.7,85.6,29.9,65.3,.458,7.8,22.6,.345,17.9,25.1,.715,13.0,26.6,39.6,15.2,6.7,5.3,11.3,18.4
34,Longwood,35,40.7,74.7,26.6,58.7,.453,5.7,16.9,.341,15.8,23.0,.687,12.3,23.7,36.1,12.7,7.0,2.5,12.3,18.3
35,Pennsylvania ,29,40.7,74.4,26.9,59.3,.454,9.5,25.9,.367,11.1,16.1,.688,8.9,24.2,33.2,14.8,6.0,2.3,10.7,14.9
36,Brown,31,40.6,71.4,25.2,58.6,.430,8.2,24.0,.341,12.7,19.5,.653,10.4,23.4,33.7,13.5,6.3,4.2,11.8,16.7
37,Illinois-Chicago,33,40.6,70.3,25.6,58.4,.438,8.7,23.9,.363,10.4,15.2,.688,7.2,23.8,31.0,13.9,6.2,5.3,12.0,17.7
38,Wofford,32,40.6,74.5,27.3,59.5,.459,9.6,26.6,.359,10.3,16.6,.620,9.7,25.2,34.8,15.4,4.4,2.7,10.7,16.3
39,South Alabama,32,40.6,74.0,26.1,58.9,.443,7.5,21.6,.345,14.3,19.1,.750,6.5,23.4,30.0,10.7,6.8,2.8,10.5,16.6
40,Troy,32,40.6,79.6,26.8,60.9,.441,8.6,24.6,.351,17.3,23.5,.733,11.3,23.8,35.2,13.7,10.3,3.3,13.3,19.1
